,Frame,# Contacts
0,0,6
1,1,5
2,2,5
3,3,6
4,4,6
5,5,6
6,6,6
7,7,5
8,8,5
9,9,6
10,10,5
11,11,5
12,12,5
13,13,6
14,14,5
15,15,5
16,16,6
17,17,6
18,18,6
19,19,6
20,20,5
21,21,6
22,22,7
23,23,6
24,24,6
25,25,5
26,26,5
27,27,5
28,28,6
29,29,4
30,30,4
31,31,4
32,32,4
33,33,4
34,34,4
35,35,4
36,36,4
37,37,4
38,38,4
39,39,4
40,40,4
41,41,4
42,42,4
43,43,4
44,44,4
45,45,4
46,46,4
47,47,4
48,48,4
49,49,4
50,50,4
51,51,4
52,52,4
53,53,4
54,54,4
55,55,4
56,56,4
57,57,4
58,58,4
59,59,4
60,60,4
61,61,4
62,62,4
63,63,4
64,64,4
65,65,4
66,66,4
67,67,4
68,68,4
69,69,4
70,70,4
71,71,4
72,72,4
73,73,4
74,74,4
75,75,4
76,76,4
77,77,4
78,78,4
79,79,4
80,80,4
81,81,4
82,82,4
83,83,4
84,84,4
85,85,4
86,86,4
87,87,4
88,88,4
89,89,4
90,90,4
91,91,4
92,92,4
93,93,4
94,94,4
95,95,4
96,96,4
97,97,4
98,98,4
99,99,4
100,100,4
101,101,4
102,102,4
103,103,4
104,104,4
105,105,4
106,106,4
107,107,4
108,108,4
109,109,4
110,110,4
111,111,4
112,112,4
113,113,4
114,114,4
115,115,4
116,116,4
117,117,4
118,118,4
119,119,4
120,120,4
121,121,4
122,122,4
123,123,4
124,124,4
125,125,4
126,126,4
127,127,4
128,128,4
129,129,4
130,130,4
131,131,4
132,132,4
133,133,4
134,134,4
135,135,4
136,136,4
137,137,4
138,138,4
139,139,4
140,140,4
141,141,4
142,142,4
143,143,4
144,144,4
145,145,4
146,146,4
147,147,4
148,148,4
149,149,4
150,150,4
151,151,4
152,152,4
153,153,4
154,154,4
155,155,4
156,156,4
157,157,4
158,158,4
159,159,4
160,160,4
161,161,4
162,162,4
163,163,4
164,164,4
165,165,4
166,166,4
167,167,4
168,168,4
169,169,4
170,170,4
171,171,4
172,172,4
173,173,4
174,174,4
175,175,4
176,176,4
177,177,4
178,178,4
179,179,4
180,180,4
181,181,4
182,182,4
183,183,4
184,184,4
185,185,4
186,186,4
187,187,4
188,188,4
189,189,4
190,190,4
191,191,4
192,192,4
193,193,4
194,194,4
195,195,4
196,196,4
197,197,4
198,198,4
199,199,4
200,200,4
201,201,4
202,202,3
203,203,4
204,204,4
205,205,4
206,206,4
207,207,4
208,208,4
209,209,4
210,210,4
211,211,4
212,212,4
213,213,4
214,214,4
215,215,4
216,216,4
217,217,4
218,218,4
219,219,4
220,220,4
221,221,4
222,222,4
223,223,4
224,224,4
225,225,3
226,226,3
227,227,3
228,228,3
229,229,3
230,230,3
231,231,3
232,232,3
233,233,3
234,234,3
235,235,3
236,236,3
237,237,3
238,238,3
239,239,3
240,240,3
241,241,3
242,242,3
243,243,3
244,244,3
245,245,3
246,246,3
247,247,3
248,248,3
249,249,3
250,250,3
251,251,3
